100
42 45 75 40 97 99 43 54 17 68 15 5 9 11 78 43 12 89 85 43 20 100 10 6 94 57 66 91 98 29 8 40 25 83 31 22 33 25 27 49 93 41 5 53 51 35 47 63 23 32 57 94 31 66 51 76 74 16 19 23 97 26 62 21 60 44 94 44 69 20 93 61 60 49 65 11 83 12 25 57 43 81 50 25 98 1 1 71 68 19 93 16 96 7 89 8 50 82 51 18 
2 95 30 13 44 95 23 78 6 99 87 100 79 36 24 76 88 24 98 8 94 91 23 42 49 63 49 98 45 51 68 98 46 97 10 41 43 85 18 100 83 4 99 14 92 23 89 31 98 39 38 44 81 13 85 29 75 85 78 71 35 45 20 80 94 30 72 36 14 90 36 48 45 34 61 36 8 2 67 6 40 56 49 72 68 85 100 95 69 77 65 55 22 85 35 67 66 6 2 31 
47 37 78 92 23 39 79 30 92 45 87 31 1 87 54 20 71 53 14 91 81 31 46 54 15 32 20 32 89 22 62 88 10 39 79 84 29 9 14 20 6 52 2 58 39 55 77 61 59 91 4 40 73 49 93 87 32 13 70 20 86 31 59 47 21 37 31 50 98 96 21 3 47 75 60 37 81 88 98 40 78 53 31 2 1 23 88 84 87 9 55 24 39 14 71 60 2 53 61 99 
48 33 1 94 7 12 83 88 100 32 27 29 84 57 31 36 31 70 19 70 79 73 93 69 86 15 80 40 67 40 38 66 25 91 60 31 2 94 18 53 25 96 34 8 4 64 43 35 85 61 56 15 85 100 84 23 67 63 62 33 55 51 51 79 41 10 61 95 55 79 99 79 26 32 86 30 95 28 16 32 40 71 46 76 22 29 98 88 44 11 73 50 62 23 80 2 84 40 48 38 
18 47 16 96 78 53 25 25 80 92 56 71 14 53 46 35 82 96 75 77 6 47 26 67 21 5 21 56 44 68 93 14 66 60 61 44 12 37 20 43 28 27 65 93 79 10 79 12 57 53 88 63 51 65 81 23 21 53 78 17 21 70 82 38 81 42 81 92 78 52 86 57 78 50 49 57 12 27 68 68 32 8 82 82 72 63 5 93 67 34 9 39 4 90 77 36 83 9 28 60 
61 13 16 38 63 16 94 74 42 14 93 25 21 75 7 44 89 63 36 55 96 96 94 51 37 22 87 19 30 66 30 90 30 97 80 92 12 25 17 6 38 62 30 10 36 88 54 76 2 41 30 50 37 75 52 25 96 38 96 78 55 77 67 85 74 46 28 37 71 45 94 60 6 76 70 93 15 23 68 17 63 49 18 51 76 69 76 71 59 23 100 13 99 67 97 24 64 25 61 86 
21 6 98 78 81 67 70 96 89 89 64 3 37 81 54 64 1 81 35 59 55 34 72 53 52 20 77 68 44 89 5 16 94 2 93 27 68 14 74 8 2 37 63 91 69 16 54 69 48 40 80 2 26 51 6 29 70 34 48 66 22 53 81 68 54 26 46 74 39 19 81 93 7 43 35 75 10 40 95 57 32 74 10 9 24 16 89 46 1 37 11 75 89 43 42 42 68 39 15 59 
57 48 51 63 42 37 89 52 76 83 60 7 57 22 67 32 37 56 29 89 92 91 63 80 34 56 73 53 94 40 11 50 39 13 64 80 49 4 83 25 87 43 83 95 64 2 78 52 57 7 40 48 97 3 79 82 58 3 35 52 94 97 53 32 10 69 64 58 72 46 34 10 88 69 4 3 70 82 54 26 40 46 25 88 48 55 70 57 57 56 60 3 52 65 86 13 33 49 23 56 
47 8 66 86 76 69 89 97 2 94 22 93 39 98 81 86 52 50 95 61 57 54 63 60 18 100 73 2 49 47 58 47 54 23 32 30 43 20 26 97 14 100 89 52 49 69 90 1 70 84 13 26 89 27 86 7 26 10 8 26 56 17 72 61 39 4 90 82 23 68 78 88 19 18 40 67 87 81 19 56 16 31 82 4 57 19 62 35 28 22 60 35 38 32 95 29 35 37 62 9 
56 91 97 26 8 88 92 94 68 63 2 35 45 35 38 54 53 52 88 32 25 47 66 14 78 60 42 64 48 3 25 3 93 21 28 1 60 72 46 27 34 47 61 30 81 50 83 85 53 70 16 77 17 33 91 46 93 84 62 92 87 86 95 31 58 22 83 17 45 29 43 78 27 55 8 60 56 42 44 61 12 12 37 80 44 79 77 88 63 38 80 1 75 26 31 32 99 14 48 44 
